,0,1,2,3,4,5,6,7,8,9
avg(2000),5.202275,13.59625,19.2125625,16.4367375,6.2425125,-4.6841125,-14.2922625,-18.42415,-17.1807,-6.039575
avg(2001),-9.6468875,-17.9979125,-16.980725,-12.7925125,-1.2831875,9.4756625,17.3031,17.335775,12.4169625,1.076325
avg(2002),-10.3837,0.45485,9.0662875,16.3349,13.604325,7.427475,-2.6686875,-12.907075,-18.9884375,-16.6473625
avg(2003),17.0835625,14.0502,4.1478,-7.5769375,-15.9891125,-20.0097125,-17.284275,-6.662875,4.488525,13.16265
avg(2004),-18.4492125,-12.254575,-1.157925,9.5834125,17.3988875,16.6029375,10.0620625,-0.6635,-11.9342875,-19.0030875
avg(2005),3.3547375,-7.5560125,-15.5641625,-17.081475,-13.920275,-3.6133125,7.2231,15.08885,17.0439125,13.1472625
avg(2006),13.7413875,18.7363375,15.91,6.8053,-4.1630875,-14.0513,-18.60235,-15.9894375,-6.8138375,4.194525
avg(2007),-19.8822125,-10.613075,2.9108875,13.5655875,20.2536125,17.1239125,7.8123625,-5.6570375,-16.2789375,-22.958275
avg(2008),-0.2662125,-11.9962125,-19.668175,-18.56515,-10.868275,1.6658625,13.4641375,21.08715,20.029925,12.2324875
avg(2009),18.0045625,20.564275,14.9793375,3.70575,-10.4525125,-19.615325,-22.1508875,-16.54235,-5.2740625,8.91435
avg(2010),-16.4563375,-6.5661875,5.589025,13.8923875,17.0015625,14.5632125,4.3627125,-7.3838875,-16.0741625,-18.782225
avg(2011),-2.4654125,-12.0114,-17.997,-16.605125,-7.9455875,2.13945,11.614,17.6445125,16.3563,7.45
avg(2012),17.6614625,17.4239625,11.276075,1.6142375,-10.1918875,-17.8559,-17.2458625,-11.57725,-1.5952375,10.0787375
avg(2013),6.400975,-6.4226625,-15.909025,-21.2023375,-16.9419125,-8.922375,4.1722125,13.635825,18.914375,14.7038875
avg(2014),11.4398,18.88295,16.7180375,9.271725,-4.3282375,-15.3019,-22.7508625,-20.705875,-13.0868125,0.330275
avg(2015),-18.8853625,-12.3631125,-0.61995,11.4748,19.2337625,20.8540875,13.98315,2.4456125,-9.7879625,-17.425025
avg(2016),10.8378375,17.90515,16.968175,9.530575,-2.2550875,-12.92875,-19.97545,-19.0567125,-11.6372125,0.0956
avg(2017),-22.2605,-15.715675,-4.9835,7.6884,16.4700625,18.3850875,11.84655,1.13895,-11.56305,-20.2877125
avg(2018),7.5904625,-6.274325,-15.5273,-19.6984,-15.508575,-5.8686875,8.0059125,17.24295,21.5139625,17.25845
avg(2019),-19.5926875,-15.0117125,-6.270425,6.9001125,15.8840125,17.617625,13.00305,4.2702125,-8.906775,-17.8612375
avg(2020),7.6359,-4.4582875,-13.540775,-17.629125,-17.0706125,-8.1648,3.9025875,13.0151125,17.1362,16.5752875
avg(2021),10.6061875,18.2839125,18.6604375,9.8467375,0.3025875,-10.7120125,-18.319825,-18.678225,-9.93605,-0.33815
avg(2022),20.573625,18.45975,9.232025,-3.9844625,-15.74755,-23.4063875,-21.113025,-11.9739375,1.17645,13.06915
avg(2023),-12.5648625,-0.195075,12.975775,21.34885,21.2015375,14.155725,1.5440625,-11.463075,-19.9569875,-19.7516125
avg(2024),-9.277175,-18.8524125,-22.4623375,-17.77095,-6.47485,7.62735,17.2736625,20.8446625,16.363225,4.860725
avg(2025),-6.4228625,6.67775,14.4517625,18.9664125,13.449575,4.164075,-8.9441875,-16.65475,-21.5031875,-15.6944875
avg(2026),-16.8687375,-23.155,-19.3922375,-11.141,1.7532,12.919675,19.2656875,15.4702875,7.4742125,-5.53
avg(2027),20.64555,12.6812625,0.640775,-11.9128375,-18.288675,-18.9403625,-11.004675,0.9916375,13.6493125,19.8700625
avg(2028),15.573575,18.961375,13.7510875,4.1237,-8.8062,-17.67815,-21.084925,-15.8030125,-6.24765,6.8091
avg(2029),-19.539575,-11.25755,2.50595,12.8460375,18.8646375,15.697625,7.3686375,-6.4212375,-16.7415375,-22.8065375
avg(2030),0.260075,-11.27145,-19.1043875,-18.9031875,-11.1597375,1.4206,13.0597625,20.871375,20.7240875,12.90015
avg(2031),20.652375,17.2632625,8.9445125,-4.1625875,-14.653975,-23.5256625,-19.9595625,-11.6579875,1.487725,11.994825
avg(2032),-12.1531125,0.25455,12.417075,20.9732375,19.327675,13.542275,1.0600625,-11.0679625,-19.510575,-17.9037625
avg(2033),-9.1775625,-18.0381125,-22.2725125,-18.2562625,-6.733975,7.7372625,16.4834125,20.71015,16.6051125,5.0942125
avg(2034),-14.124,-4.896675,7.2269375,16.56575,17.3502,12.1960375,2.977375,-9.2158,-18.53415,-19.2846375
avg(2035),-5.309775,-14.4088,-16.9157,-15.7051625,-6.9710125,4.9012125,14.0606125,16.571325,15.417875,6.6674625
avg(2036),18.0949875,18.171,8.86085,-1.455625,-11.2158,-18.161925,-18.263725,-8.9484875,1.3452375,11.081525
avg(2037),-16.36115,-7.257025,5.8675125,14.6058375,18.7410875,14.07005,4.88655,-8.252,-16.9243125,-21.1050375
avg(2038),-5.2587,-15.77345,-22.7899875,-19.7780625,-11.9226625,1.36735,11.96475,18.881775,15.8747,8.02225
avg(2039),20.2264375,20.6683125,13.5448875,1.2403,-10.73695,-18.5090125,-18.937825,-11.7444875,0.5256125,12.5002625
avg(2040),-12.896475,-2.854275,9.2633875,16.8381125,17.35695,14.14095,1.64435,-8.3153,-17.839525,-17.1093
avg(2041),15.6883875,13.734875,9.104475,-2.9402375,-10.857225,-19.605975,-16.1700625,-11.7693375,-0.8242,8.8187875
avg(2042),-6.755125,-14.5445375,-21.5861875,-16.4326125,-8.81955,3.4860375,12.1373375,17.42725,15.3388125,4.5873625
avg(2043),3.1548125,14.111775,20.4293875,17.4158375,7.7100625,-5.8671875,-16.8306875,-23.2476625,-20.043425,-10.495725
avg(2044),-19.8188375,-18.925525,-10.67825,1.56475,13.78035,21.2686875,20.333975,12.177,-0.1893625,-12.3165625
avg(2045),14.954825,3.5590125,-10.7366625,-19.738075,-22.3332625,-16.5562375,-5.1616875,9.2001,18.1047125,20.8231375
avg(2046),18.394675,10.710425,-1.0471875,-13.51955,-21.404075,-20.9247125,-13.8250125,-1.4733625,10.590675,18.8116625
avg(2047),-2.4972,10.5360375,18.657175,21.0004,15.0161,3.9121625,-9.124125,-17.311175,-19.41845,-14.017125
avg(2048),-16.78825,-22.211575,-18.8355875,-9.1455125,4.4758,14.8921625,20.9654875,17.0719,7.5624,-5.79435
avg(2049),-11.0984625,1.240575,11.7036375,17.9050875,16.2831875,8.64115,-3.5242375,-14.114575,-20.05345,-18.7105875
avg(2050),-12.2168875,-20.75565,-21.7390375,-15.1002375,-3.744775,8.2859625,16.8575375,18.027225,11.0710875,0.00275
avg(2051),21.6663625,16.6685875,6.3168125,-6.9224375,-16.25785,-19.7379625,-14.9794375,-4.628725,8.6596375,17.985675
