,0,1,2,3,4,5,6,7,8,9
avg(4000),-3.69995,7.0310375,14.1910625,15.0002375,10.1169125,0.72935,-9.9771125,-17.136625,-17.9856375,-13.089475
avg(4001),14.66385,7.018175,-3.8618875,-13.4495375,-19.889225,-17.5398375,-9.9612625,0.95805,10.5542875,17.0696125
avg(4002),17.6583,9.7003875,-0.5240875,-13.6608625,-18.820975,-20.757625,-12.657325,-0.7493125,10.1435875,18.1979875
avg(4003),-5.64695,6.5951,16.201075,19.2617,11.8155,3.2791375,-11.715725,-18.7756625,-23.7383125,-16.463325
avg(4004),-15.880575,-19.19155,-17.56865,-6.3893625,6.5817875,16.848275,22.79545,16.8404,9.9506875,-5.8652875
avg(4005),-4.8612375,-15.901225,-22.9624125,-19.807125,-11.7680625,2.3936375,13.5318375,20.5714375,17.51095,9.466575
avg(4006),19.589625,19.68115,12.2647125,-1.399175,-14.225875,-23.457375,-23.612475,-16.14855,-2.5963125,10.3192375
avg(4007),-16.2639125,-4.1943,10.66365,20.5552125,24.348525,18.0534625,6.0110875,-8.8918125,-18.752525,-22.5892625
avg(4008),-20.5585875,-11.9425875,0.7143625,12.0382375,19.67585,17.8627625,9.3728875,-3.589525,-14.519,-22.5541125
avg(4009),1.67815,-10.643775,-18.797025,-18.9860125,-12.1589625,-0.4690625,12.1383125,20.1411,20.370775,13.8113625
avg(4010),16.8334375,20.609475,16.388775,5.6903125,-8.5743875,-18.2547625,-22.428625,-17.679525,-7.4610375,6.9757375
avg(4011),-21.0212875,-17.9929625,-10.0798875,1.8763125,12.2844125,18.5892,15.681625,7.7145375,-4.2589875,-14.6176125
avg(4012),10.3154125,-0.8669125,-13.8881625,-21.0326625,-21.7972625,-14.1916875,-3.1111875,10.0433125,17.08365,17.9891125
avg(4013),10.4044375,17.8381375,21.7902875,15.702925,5.2754125,-8.65215,-16.0783875,-20.0575625,-13.9055125,-3.6168375
avg(4014),19.1592625,19.007275,12.2102625,-0.5055875,-12.6284625,-21.5639375,-21.4001,-14.6418,-1.9651125,10.2285
avg(4015),-18.1929,-6.792,7.46105,17.34735,20.3397875,14.3816625,2.9744625,-11.307825,-21.1965375,-24.222125
avg(4016),-5.3143875,-15.8588625,-22.1178,-18.0896625,-8.1272125,6.9577625,17.5372,23.8870125,19.8881375,9.8877
avg(4017),-18.8741125,-12.449625,-0.27715,10.355675,17.856475,16.862575,10.2774,-1.7998125,-12.425125,-19.9676
