,0,1,2,3,4,5,6,7,8,9
avg(0),10.809125,0.5727,-10.9061875,-19.6205125,-18.942875,-12.4564625,-2.8562875,9.04505,17.44965,17.3030875
avg(1),6.6541875,15.337675,16.5997375,14.4594125,4.8813125,-6.9897625,-15.6412875,-17.1385375,-14.557375,-5.5466125
avg(2),-18.8354625,-17.508525,-7.59025,3.3261625,12.7348125,18.43355,17.6959625,7.537125,-3.4242,-12.804725
avg(3),-9.6913125,1.00185,11.3714875,17.9523,16.4034,7.7254875,-2.891225,-13.44295,-19.8147125,-18.5883375
avg(4),-9.7676625,-16.900075,-17.163775,-11.8305875,-2.3722875,9.290925,16.606475,16.7814375,11.4820625,2.117625
avg(5),18.48585,15.1597875,5.1726375,-6.935975,-15.2241875,-18.457425,-15.4101125,-5.162875,6.7423125,15.26995
avg(6),-19.958425,-19.1885125,-13.1388,-0.94635,9.6243,17.620575,16.90835,10.8830625,-1.3661625,-11.8998875
avg(7),12.9744125,2.229325,-10.3787625,-19.6410625,-22.3453125,-16.9129375,-6.1656125,6.4411,15.726325,18.545575
avg(8),6.595825,16.1692,21.8269,17.7221,8.9455125,-4.8056,-14.4363625,-20.048625,-15.9456625,-7.2895875
avg(9),-8.734875,5.6185,14.930025,20.4677875,15.8716,6.0387,-8.305075,-17.628625,-23.2665875,-18.5877875
avg(10),-13.418275,-20.3794375,-17.4159625,-8.9007625,3.9247625,14.8010625,21.8649375,18.9020375,10.35535,-2.448625
avg(11),20.193325,13.20035,1.4491125,-12.447475,-20.49855,-21.7920875,-14.8819625,-3.1319125,10.91,18.82855
avg(12),6.224725,14.8163625,17.5736625,14.149475,4.509875,-8.4378375,-16.6143125,-19.7936625,-15.99855,-6.5404125
avg(13),-18.17825,-16.4163625,-7.7940125,2.785925,12.0413625,17.9449,15.92105,7.704725,-3.4195375,-12.121125
avg(14),10.9962625,0.7740875,-10.6936375,-18.0164875,-17.834,-11.033,-0.8490875,10.61835,18.136325,17.5989
avg(15),-11.940825,-19.1929625,-18.3521875,-10.9562375,-0.47985,9.8664875,17.2540125,16.309825,9.0435125,-1.6528125
avg(16),16.57915,12.3528875,2.7439875,-8.162525,-16.3179625,-16.8552875,-12.7580875,-3.0691625,7.820025,15.9467125
avg(17),-6.1508,5.39575,14.414775,18.0267375,15.783825,5.9865125,-5.459475,-14.467225,-18.1883125,-15.684
avg(18),15.329475,7.5545625,-5.4739125,-15.259875,-20.759,-17.3415125,-9.7659375,3.2938125,13.1375875,18.5733625
avg(19),-1.6246375,10.0111,17.734025,17.5803625,10.0413875,-2.2731,-13.8319375,-21.600125,-21.4695,-13.932225
avg(20),-17.177025,-19.9903125,-13.446025,-2.7091625,10.5233375,18.8566375,21.804925,15.2655625,4.4817625,-8.657275
avg(21),-12.6643875,-21.4291875,-21.749325,-14.77185,-2.6016375,9.8831875,18.699175,18.9873125,12.0327,-0.0917125
avg(22),21.5269375,15.9541375,5.0923,-8.4316375,-17.125075,-20.04585,-14.533075,-3.6751125,9.8415625,18.53755
avg(23),-10.3004625,3.6867625,14.5202875,21.0339875,17.7967375,8.68495,-5.2827375,-16.07285,-22.6437625,-19.3922125
avg(24),-18.8947,-17.7253875,-8.1899375,4.00645,13.3161125,17.0367625,15.755725,6.1722,-5.82365,-15.428825
avg(25),8.820975,-1.207975,-10.71795,-17.5209125,-16.8756375,-9.370625,0.801525,10.228975,17.246,16.6956625
avg(26),8.415475,17.397075,17.742375,12.5987625,2.7446625,-8.448625,-17.4525,-17.6498,-12.9470625,-2.870375
avg(27),-14.8834,-4.4859375,7.4148,15.9252625,17.1276,12.8661125,2.5120625,-9.3029375,-17.9697625,-18.8894
avg(28),-5.0177,-13.7787,-17.6761625,-15.56365,-6.5248625,4.6602625,13.2939375,17.4094375,15.227375,6.161975
avg(29),18.4826,17.1563875,9.3695875,-1.0804,-11.479825,-18.5393,-17.1204625,-9.6665875,1.0675625,11.19745
avg(30),11.97145,1.45985,-10.6446,-18.4255125,-20.49125,-14.0516375,-3.53145,8.635425,16.2894,18.3960625
avg(31),4.56105,14.118325,19.0682875,14.0132375,5.17715,-8.5119375,-18.0886,-22.9751875,-17.723475,-9.053175
avg(32),-19.593375,-17.6714125,-9.4948625,3.9282,14.8510625,21.3700125,19.4237125,11.163575,-2.325675,-13.1197125
avg(33),-2.3339125,-15.7652125,-20.7936375,-19.908075,-12.409,1.5488625,11.6912625,20.4119375,15.8484,10.388025
avg(34),16.512275,19.9105875,10.6483375,0.913425,-13.3996375,-20.564625,-22.44015,-16.5243,-2.967625,8.0018375
avg(35),-15.605475,-5.1489125,9.16365,17.4493875,23.367325,15.8359,7.3040375,-7.511575,-15.7791625,-20.4372125
avg(36),12.4128625,17.601375,15.8483375,6.2312125,-5.4624125,-14.7415125,-19.22615,-18.078325,-8.353225,3.5582125
avg(37),-16.5732625,-9.88005,0.10865,9.86225,17.2750125,16.5764375,9.112725,-0.106275,-10.463025,-17.3929125
